product_id,product_name,price
10,Veal - Ground,337.45
3,Snapple Lemon Tea,221.69
7,Carbonated Water - Strawberry,82.2
4,Sprouts Dikon,338.42
1,"Chocolate - Pistoles, White",946.19
6,Sauce - Marinara,2.67
7,Cheese - Colby,591.95
10,"Soup - Knorr, Country Bean",625.9
5,Steel Wool,101.63
8,Cheese - Grana Padano,143.11
6,Yukon Jack,493.62
9,Pastry - Raisin Muffin - Mini,182.08
7,Gelatine Leaves - Bulk,277.62
5,Carbonated Water - Peach,671.28
9,Cut Wakame - Hanawakaba,741.14
2,Crackers - Trio,90.48
6,Wine - Ice Wine,896.71
1,Dill Weed - Dry,54.81
3,Bread Base - Gold Formel,943.89
1,Lemon Tarts,25.93
7,Wine - Shiraz South Eastern,882.44
5,"Chicken - Leg, Boneless",307.91
6,"Beans - Black Bean, Preserved",378.99
8,Ham Black Forest,440.23
1,Wine - Barossa Valley Estate,931.25
4,Amaretto,661.0
8,Corn - Mini,374.26
4,Pie Box - Cello Window 2.5,426.39
6,Fib N9 - Prague Powder,882.32
7,Soup V8 Roasted Red Pepper,835.99
5,Wine - Acient Coast Caberne,366.94
3,Wild Boar - Tenderloin,811.07
8,Cheese - Provolone,834.24
10,"Potatoes - Yukon Gold, 80 Ct",634.0
2,Squash - Sunburst,882.51
5,"Shrimp - 16/20, Peeled Deviened",427.82
2,Squeeze Bottle,894.01
8,Tuna - Salad Premix,380.84
2,Lettuce - Curly Endive,622.51
1,Coffee - French Vanilla Frothy,432.68
10,Cheese - Brie,732.6
9,Pastry - Apple Large,429.42
7,Pork - Side Ribs,624.13
5,Zucchini - Green,827.32
10,Milk - 2%,372.57
5,"Chilli Paste, Ginger Garlic",425.96
2,Wine - Masi Valpolocell,378.35
1,Tamarillo,461.43
1,Chocolate - Liqueur Cups With Foil,420.08
5,Cheese - Mascarpone,646.95
9,Pineapple - Golden,506.97
4,Lid Tray - 12in Dome,271.7
1,"Flour - Buckwheat, Dark",839.87
3,Cheese - Valancey,188.88
9,Aspic - Light,135.41
5,Dooleys Toffee,409.62
4,Pork Loin Cutlets,260.72
8,Bread Base - Toscano,934.57
6,Onions - Green,534.4
1,Cheese - Goat With Herbs,364.34
9,Dawn Professionl Pot And Pan,771.63
1,"Crab - Claws, Snow 16 - 24",662.53
6,Longos - Grilled Chicken With,812.46
2,"Chilli Paste, Sambal Oelek",475.24
3,Chutney Sauce,968.95
7,"Cherries - Bing, Canned",693.37
4,Banana,108.02
1,Quail - Jumbo,16.15
7,"Cherries - Maraschino,jar",304.3
10,"Pineapple - Canned, Rings",463.96
1,Wine - Winzer Krems Gruner,441.04
7,Island Oasis - Peach Daiquiri,605.72
9,Cookies - Englishbay Wht,884.41
4,Venison - Racks Frenched,855.94
3,"Oranges - Navel, 72",490.89
6,Paper Cocktail Umberlla 80 - 180,97.46
3,Foam Dinner Plate,650.74
6,Lamb - Loin Chops,174.74
9,Oil - Macadamia,21.1
8,Bread - Focaccia Quarter,898.49
7,Whmis - Spray Bottle Trigger,26.15
7,Wine - Chateau Bonnet,642.51
6,Shrimp - Black Tiger 26/30,288.32
8,"Lemonade - Kiwi, 591 Ml",276.5
6,Dried Figs,682.55
7,Grapefruit - Pink,596.76
6,Tamarillo,991.18
4,Coffee - Frthy Coffee Crisp,691.26
4,Flour - Strong,133.28
2,Veal - Loin,685.19
5,Wine - Vovray Sec Domaine Huet,113.55
5,Mix Pina Colada,246.2
3,Cheese - Perron Cheddar,958.74
6,Mushroom Morel Fresh,965.04
3,Milk - 2%,53.33
4,Pickles - Gherkins,549.97
9,Filling - Mince Meat,837.91
9,Strawberries,120.08
